TABLE_NAME,COLUMN_NAME,DB_DATA_TYPE,COLUMN_KEY,EXTRA,SCRUB_EXEMPT,TO_BE_HASHED,FULL_SCRUB
ACTION_ITEM,ID,int,PRI,auto_increment,N,Y,N
ACTION_ITEM,CREATOR,int,MUL,,N,Y,N
ACTION_ITEM,COMPLETER,int,MUL,,N,Y,N
ACTION_ITEM,ASSIGNEE,int,MUL,,N,Y,N
ACTION_ITEM,ACTOR,int,MUL,,N,Y,N
ACTION_ITEM,CONVERSATION,int,MUL,,N,Y,N
ACTION_ITEM,FLAG,varchar,MUL,,Y,N,N
ACTION_ITEM,FLAG_SUB_TYPE,varchar,,,Y,N,N
ACTION_ITEM,STATUS,int,,,Y,N,N
ACTION_ITEM,IS_EXPIRATION_NOTICE_SENT,tinyint,,,Y,N,N
ACTION_ITEM,TIME_CREATED,datetime,,,Y,N,N
ACTION_ITEM,TIME_COMPLETED,datetime,,,Y,N,N
ACTION_ITEM,TIME_RETRACTED,datetime,,,Y,N,N
ACTION_ITEM,TIME_EXPIRED,datetime,,,Y,N,N
ACTION_ITEM,REASON,longtext,,,N,N,N
ACTION_ITEM,EXTRA,text,,,N,N,N
ACTION_ITEM,ACTION_TYPE,varchar,,,Y,N,N
ACTION_ITEM,NOTIFICATION_TYPE,int,,,Y,N,N
ACTOR,ID,int,PRI,auto_increment,N,Y,N
ACTOR,PROFILE_ID,int,UNI,,N,Y,N
ACTOR,ADDRESS,longtext,,,N,N,Y
ACTOR,ADDRESS_HASH,varchar,,,N,N,Y
ACTOR,TYPE,varchar,MUL,,Y,N,N
ACTOR,CACHED_CONVERSATION_COUNT,int,,,Y,N,N
ACTOR,SALT,longtext,,,N,N,Y
ACTOR,CAN_TEXT,tinyint,,,Y,N,N
ACTOR,CARRIER,varchar,,,Y,N,N
ACTOR,CITY,varchar,,,N,N,Y
ACTOR,STATE,varchar,,,N,N,Y
ACTOR,LOCATIONOVERRIDDEN,tinyint,,,Y,N,N
ACTOR,IS_CEDED,tinyint,,,Y,N,N
ACTOR,CONNECTION_ID,varchar,,,N,N,Y
ACTOR,IP_ADDRESS,varchar,,,N,X,Y
ACTOR,IS_IN_COUNTRY,tinyint,,,N,N,Y
ACTOR_CONVERSATIONS,ID,int,PRI,,Y,N,N
ACTOR_CONVERSATIONS,CONVERSATION_ID,int,PRI,,N,Y,N
ACTOR_CONVERSATIONS,ACTOR_ID,int,PRI,,N,Y,N
ACTOR_FLAG,ACTOR_ID,int,PRI,,N,Y,N
ACTOR_FLAG,FLAG_ID,varchar,PRI,,Y,N,N
ACTOR_NAME,ID,int,PRI,auto_increment,N,Y,N
ACTOR_NAME,ACTOR_ID,int,MUL,,N,Y,N
ACTOR_NAME,CONVERSATION_ID,int,UNI,,N,Y,N
ACTOR_NAME,VALUE,longtext,,,N,N,N
ACTOR_NAME,TIMESTAMP,datetime,,,Y,N,N
ADVISORY_LOCK,NAME,varchar,PRI,,Y,N,N
AREA_CODES,AREACODE,int,,,Y,N,N
AREA_CODES,CITY,varchar,,,Y,N,N
AREA_CODES,STATE,varchar,,,Y,N,N
AREA_CODES,ID,int,PRI,auto_increment,Y,N,N
AUDIT_ASSOCIATIONS,ID,int,PRI,auto_increment,N,Y,N
AUDIT_ASSOCIATIONS,TYP,varchar,,,Y,N,N
AUDIT_ASSOCIATIONS,TBL,varchar,,,Y,N,N
AUDIT_ASSOCIATIONS,LABEL,varchar,,,Y,N,N
AUDIT_ASSOCIATIONS,FK,varchar,,,Y,N,N
AUDIT_ASSOCIATIONS,CLASS,varchar,,,Y,N,N
AUDIT_LOGS,ID,int,PRI,auto_increment,Y,N,N
AUDIT_LOGS,SOURCE_ID,int,UNI,,Y,N,N
AUDIT_LOGS,TARGET_ID,int,UNI,,Y,N,N
AUDIT_LOGS,BLAME_ID,int,UNI,,Y,N,N
AUDIT_LOGS,ACTION,varchar,,,Y,N,N
AUDIT_LOGS,TBL,varchar,,,Y,N,N
AUDIT_LOGS,DIFF,longtext,,,N,N,N
AUDIT_LOGS,LOGGEDAT,datetime,,,Y,N,N
AUTO_MESSAGE_BOT,ID,int,PRI,auto_increment,Y,N,N
AUTO_MESSAGE_BOT_CONVERSATION,ID,int,PRI,auto_increment,Y,N,N
AUTO_MESSAGE_BOT_CONVERSATION,CONVERSATION_ID,int,MUL,,N,Y,N
AUTO_MESSAGE_BOT_CONVERSATION,AUTO_MESSAGE_BOT_ID,int,MUL,,Y,N,N
AUTO_MESSAGE_BOT_CONVERSATION,CURRENTSTATE,varchar,,,Y,N,N
AUTO_MESSAGE_BOT_NODE,ID,int,PRI,auto_increment,Y,N,N
AUTO_MESSAGE_BOT_NODE,AUTO_MESSAGE_BOT_ID,int,MUL,,Y,N,N
AUTO_MESSAGE_BOT_NODE,HANDLER,varchar,,,N,N,N
AUTO_MESSAGE_BOT_NODE,MESSAGE_TEXT_RESOLVER_NAME,varchar,,,N,N,N
AUTO_MESSAGE_BOT_NODE,TRANSITION_RESOLVER_NAME,varchar,,,N,N,N
AUTO_MESSAGE_BOT_NODE,IS_FIRST_NODE,tinyint,,,Y,N,N
AUTO_MESSAGE_BOT_NODE_TRANSITION,ID,int,PRI,auto_increment,Y,N,N
AUTO_MESSAGE_BOT_NODE_TRANSITION,FROM_NODE_ID,int,MUL,,Y,N,N
AUTO_MESSAGE_BOT_NODE_TRANSITION,TO_NODE_ID,int,MUL,,Y,N,N
AUTO_MESSAGE_BOT_NODE_TRANSITION,TO_CONVO_WORKFLOW_TRANSITION,varchar,,,N,N,N
AUTO_MESSAGE_BOT_NODE_TRANSITION,TYPE,varchar,,,Y,N,N
AUTO_MESSAGE_BOT_NODE_TRANSITION,TRIGGER_VALUE,longtext,,,N,N,N
AUTO_MESSAGE_BOT_SELECTION_STRATEGY,ID,int,PRI,auto_increment,Y,N,N
AUTO_MESSAGE_BOT_SELECTION_STRATEGY,AUTO_MESSAGE_BOT_ID,int,MUL,,Y,N,N
AUTO_MESSAGE_BOT_SELECTION_STRATEGY,LIFECYCLE_STATE,varchar,,,Y,N,N
AUTO_MESSAGE_BOT_SELECTION_STRATEGY,PRIORITY,int,,,Y,N,N
AUTO_MESSAGE_BOT_SELECTION_STRATEGY,STRATEGY,varchar,,,N,N,N
AUTOMATED_MESSAGE_LOG_ENTRY,ID,int,PRI,auto_increment,Y,N,N
AUTOMATED_MESSAGE_LOG_ENTRY,CONVERSATION_ID,int,MUL,,N,Y,N
AUTOMATED_MESSAGE_LOG_ENTRY,MESSAGE_IDENTIFIER,varchar,,,N,Y,N
AUTOMATED_MESSAGE_LOG_ENTRY,SENT_TIME,datetime,,,Y,N,N
BAN,ID,int,PRI,auto_increment,N,Y,N
