TABLE_NAME;ID_COLUMN;EXPORT_EXEMPT;GETS_UPDATE;ALWAYS_FULL_EXPORT;HAS_FOREIGN_KEY
ACTION_ITEM;ID;N;N;N;N
ACTION_ITEM_READ_LOG;ID;N;N;N;N
ACTOR;ID;N;N;N;N
ACTOR_CONVERSATIONS;NA;N;N;N;Y
ACTOR_FLAG;NA;N;N;N;Y
ACTOR_NAME;ID;N;N;N;N
ADVISORY_LOCK;NA;N;N;Y;N
AREA_CODES;ID;N;N;N;N
AUDIT_ASSOCIATIONS;ID;Y;N;N;N
AUDIT_LOGS;ID;Y;N;N;N
AUTO_MESSAGE_BOT;ID;N;N;N;N
AUTO_MESSAGE_BOT_CONVERSATION;ID;Y;N;N;N
AUTO_MESSAGE_BOT_NODE;ID;N;N;N;N
AUTO_MESSAGE_BOT_NODE_TRANSITION;ID;N;N;N;N
AUTO_MESSAGE_BOT_SELECTION_STRATEGY;ID;N;N;N;N
AUTOMATED_MESSAGE_LOG_ENTRY;ID;N;N;N;N
BAN;ID;N;N;N;N
BAN_EVENT;ID;N;N;N;N
BEHAVIOR;ID;N;N;N;N
BETA_GROUP;ID;N;N;N;N
BETA_MEMBER;NA;N;N;N;Y
COACH_FEEDBACK;ID;N;N;N;N
CONTACT_FORM_RESPONSE;ID;N;N;N;N
CONTACT_FORM_SUBMISSION;ID;N;N;N;N
CONVERSATION;ID;N;N;N;N
CONVERSATION_FEEDBACK;ID;N;N;N;N
CONVERSATION_FEEDBACK_NOTE_FLAG;ID;N;N;N;N
CONVERSATION_FLAG;ID;N;N;N;N
CONVERSATION_NOTIFICATION;ID;N;N;N;N
CONVERSATION_PARTICIPATION;ID;N;N;N;N
CONVERSATION_QUEUE;ID;N;N;N;N
CONVERSATION_REQUEST;ID;N;N;N;N
CONVERSATION_RISK_ASSESSMENT_LOG;ID;N;N;N;N
CONVERSATION_STAR;ID;N;N;N;N
CONVERSATION_STATE_LOG;ID;N;N;N;N
CONVERSATION_TOPIC;ID;N;N;N;N
DIRECT_MESSAGE;ID;N;N;N;N
ESCALATION;ID;N;N;N;N
ESCALATION_BEHAVIOR;NA;N;N;N;Y
ESCALATION_SKILL;NA;N;N;N;Y
ESCALATION_TYPE;ID;N;N;N;N
EXAMPLE_GOOD_EGG;ID;N;N;N;N
EXAMPLE_RESPONSE;ID;N;N;N;N
EXAMPLE_RESPONSE_MESSAGE_USAGES;NA;N;N;N;Y
EXAMPLE_RESPONSE_ORDER;ID;N;N;N;N
EXAMPLE_RESPONSE_TAG;ID;N;N;N;N
EXAMPLE_RESPONSE_TAGS;NA;N;N;N;Y
EXPORT_JOB;ID;N;N;N;N
FEEDBACK_COMMENT;ID;N;N;N;N
FLAG;NA;N;N;Y;N
FLAG_ENTRIES;NA;N;N;N;Y
FORM;ID;N;N;N;N
FORM_OPTION;ID;N;N;N;N
FORM_QUESTION;ID;N;N;N;N
GOOD_EGG;ID;N;N;N;N
GOOD_EGG_TYPE;ID;N;N;N;N
HIGH_IMPACTER_CHANGE;ID;N;N;N;N
KEYWORD;ID;N;N;N;N
LEVEL_CHANGE;ID;N;N;N;N
LOGIN;ID;N;N;N;N
MANAGEMENT_PLAN;ID;N;N;N;N
MESSAGE;ID;N;N;N;N
MESSAGE_REFERRAL_USAGE;ID;N;N;N;N
MESSAGE_TRIAGE_RESPONSE;ID;N;N;N;N
MIGRATION_VERSIONS;NA;N;N;Y;N
NOTE;ID;N;N;N;N
NOTE_ACTOR;ID;N;N;N;N
NOTE_MESSAGE;ID;N;N;N;N
NUMBER_REQUEST;ID;N;N;N;N
POLICY;ID;N;N;N;N
POLICY_AGREEMENT;ID;N;N;N;N
POLICY_OPTION;ID;N;N;N;N
PREFERENCE;ID;N;N;N;N
PROFILE;ID;N;N;N;N
PROFILE_FIELD;ID;N;N;N;N
PROFILE_VALUE;NA;N;N;N;Y
PSAP;ID;N;N;N;N
PSAP_COMMUNITIES;NA;N;N;N;Y
PSAP_COMMUNITY;ID;N;N;N;N
QUEUE_DOODLES;ID;N;N;N;N
QUEUE_LEVEL;ID;N;N;N;N
QUEUE_OBSERVATION;ID;N;N;N;N
QUEUE_OBSERVATION_CAPACITY;ID;N;N;N;N
REFERRAL;ID;N;N;N;N
REFERRAL_CONTACT_DETAIL;ID;N;N;N;N
REFERRAL_CONTACT_POINT;ID;N;N;N;N
REFERRAL_TAXONOMIES;NA;N;N;N;Y
RELEASE_NOTE_STEP;ID;N;N;N;N
RELEASE_NOTES;ID;N;N;N;N
REPORTING_LOG;ID;N;N;N;N
REPORTING_LOG_NOTE;ID;N;N;N;N
REPORTING_LOG_QUESTION;ID;N;N;N;N
REPORTING_LOG_VALUE;ID;N;N;N;N
SCRUB_REQUEST;ID;N;N;N;N
SESSION;SESSION_ID;N;N;N;N
SETTING;ID;N;N;N;N
SKILL;ID;N;N;N;N
SSO_ID_ENTRY;ID;N;N;N;N
SUPERVISOR_MODE_LOG;ID;N;N;N;N
SUPERVISOR_ASSIGNMENT_LOG;ID;N;N;N;N
SURVEY;ID;N;N;N;N
SURVEY_QUESTION;ID;N;N;Y;N
SURVEY_QUESTION_DEPENDENCY;ID;N;N;N;N
SURVEY_VALUE;ID;N;N;N;Y
TERM;ID;N;N;N;N
TEXTER_FEEDBACK;ID;N;N;N;N
TEXTER_FEEDBACK_COUNSELORS;NA;N;N;N;Y
TEXTER_FEEDBACK_NOTIFICATION_LOG;ID;N;N;N;N
TEXTER_FEEDBACK_REDACTION;ID;N;N;N;N
TEXTER_NOTE;ID;N;N;N;N
TEXTER_SURVEY_RESPONSE;ID;N;N;N;N
TEXTER_SURVEY_RESPONSE_VALUE;ID;N;N;N;N
TEXTER_SURVEY_RESPONSE_VALUE_EXTENSION;ID;N;N;N;N
TRANSFER;ID;N;N;N;N
TRANSFERREQUEST;ID;N;N;N;N
TWO_FACTOR_COOKIE;NA;N;N;Y;N
USER;ID;N;N;N;N
USER_CONNECTED_LOG;ID;N;N;N;N
USER_CONTACT_INFO;ID;N;N;N;N
USER_LANGUAGE;ID;N;N;N;N
USER_PREFERENCE;ID;N;N;N;N
USER_PROFILE;ID;N;N;N;N
USER_PROFILE_FIELD;ID;N;N;N;N
USER_PROFILE_SECTION;ID;N;N;N;N
USER_PROFILE_VALUE;ID;N;N;N;N
WARNING;ID;N;N;N;N
