TABLE_NAME,COLUMN_NAME,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
ACTOR_CONVERSATIONS,ACTOR_ID,ACTOR,ID
ACTOR_CONVERSATIONS,CONVERSATION_ID,CONVERSATION,ID
ACTOR_FLAG,ACTOR_ID,ACTOR,ID
ACTOR_FLAG,FLAG_ID,FLAG,NAME
BETA_MEMBER,BETA_GROUP_ID,BETA_GROUP,ID
BETA_MEMBER,USER_ID,USER,ID
ESCALATION_BEHAVIOR,BEHAVIOR_ID,BEHAVIOR,ID
ESCALATION_BEHAVIOR,ESCALATION_ID,ESCALATION,ID
ESCALATION_SKILL,SKILL_ID,SKILL,ID
ESCALATION_SKILL,ESCALATION_ID,ESCALATION,ID
EXAMPLE_RESPONSE_MESSAGE_USAGES,MESSAGE_ID,MESSAGE,ID
EXAMPLE_RESPONSE_MESSAGE_USAGES,EXAMPLE_RESPONSE_ID,EXAMPLE_RESPONSE,ID
EXAMPLE_RESPONSE_TAGS,EXAMPLE_RESPONSE_TAG_ID,EXAMPLE_RESPONSE_TAG,ID
EXAMPLE_RESPONSE_TAGS,EXAMPLE_RESPONSE_ID,EXAMPLE_RESPONSE,ID
FLAG_ENTRIES,QUESTION_ID,SURVEY_QUESTION,ID
FLAG_ENTRIES,FLAG_NAME,FLAG,NAME
PROFILE_VALUE,FIELD_ID,PROFILE_FIELD,ID
PROFILE_VALUE,PROFILE_ID,PROFILE,ID
PSAP_COMMUNITIES,PSAPCOMMUNITY_ID,PSAP_COMMUNITY,ID
PSAP_COMMUNITIES,PSAP_ID,INT,PSAP,ID
REFERRAL_TAXONOMIES,REFERRAL_ID,REFERRAL,ID
REFERRAL_TAXONOMIES,TERM_ID,TERM,ID
SURVEY_VALUE,QUESTION_ID,SURVEY_QUESTION,ID
SURVEY_VALUE,SURVEY_ID,SURVEY,ID
TEXTER_FEEDBACK_COUNSELORS,USER_ID,USER,ID
TEXTER_FEEDBACK_COUNSELORS,TEXTERFEEDBACK_ID,TEXTER_FEEDBACK,ID
